Distritos;X;Y
SAMUGARI;-12.8602985341; -73.7207426521
CCATCA;-13.6003781244; -71.5057630386
CUSCO;-13.4925399205; -71.9876227864
TAMBO;-13.5897163221; -75.1762618212
CURASCO;-14.1027799125; -72.5320377049
CURPAHUASI;-13.9688785608; -72.6498192775
HUAYLLATI;-13.9664909369; -72.4958242012
INDIANA;-3.8291591075; -72.8563333859
LAS AMAZONAS;-3.56836706822; -72.5289215555
NAPO;-2.09911988462; -74.4071350359
JEBEROS;-5.29686019893; -76.2049797637
TENIENTE CESAR LOPEZ ROJAS;-5.98771172807; -75.8220446506
PUNCHANA;-3.53867544252; -73.4544452975
SAN JUAN BAUTISTA;-4.14906484373; -73.6658988071
ANDOAS;-3.27440541605; -76.6724137761
LAS PIRIAS;-5.63634222274; -78.8495901597
QUILAHUANI;-17.3328756257; -70.2568195786
TARATA;-17.3770325; -69.7513555512
ESTIQUE-PAMPA;-17.6125213409; -70.1138482397
SITAJARA;-17.3945685597; -70.1533889881
SUSAPAYA;-17.2245656965; -70.0466772332
CHEPEN;-7.22852728867; -79.3538432032
PUEBLO NUEVO;-7.19224720736; -79.5862904099
TICAPAMPA;-9.73783260242; -77.3922846868
FLORENCIA DE MORA;-8.08242952685; -79.0214094749
PIMPINGOS;-6.07089704871; -78.768291558
HUANCARAMA;-13.6568631112; -73.0283086966
TAMBOPATA;-12.0485799229; -70.2845917498
FITZCARRALD;-11.8504040027; -71.6346626515
COASA;-13.6433682306; -69.8974819826
LIMBANI;-13.7784290483; -69.6074327792
SAN PEDRO DE PUTINA PUNCO;-13.5486344946; -69.1479904882
AYAPATA;-13.5010841914; -70.2435379716
SAN GABAN;-13.5240516446; -70.3948706258
COLONIA;-12.5842703315; -75.8459805486
SAN VICENTE DE CAÑETE;-13.1719373097; -76.2575670024
REQUE;-6.86348243662; -79.7941928799
CAYARANI;-15.0147132382; -72.2891387826
CHICHAS;-15.5345118479; -72.9457381239
RIO GRANDE;-15.8808797549; -73.1266316817
SANTA CATALINA DE MOSSA;-5.12578402901; -79.8756180388
CARACOTO;-15.5574656667; -70.0879014815
INCHUPALLA;-15.0008608796; -69.6446092148
SANTA ROSA;-6.45523417683; -77.4584164433
LEVANTO;-6.31429722169; -77.8645537628
SANTA ANA DE TUSI;-10.4788313272; -76.3232547042
CHONTABAMBA;-10.6233129068; -75.5063392448
PALCAZU;-10.2343589434; -75.2761411859
HUACHON;-10.5742522515; -75.7854876405
JOSE MARIA ARGUEDAS;-13.8092551152; -73.3239637109
QUIRUVILCA;-8.01473867198; -78.2511132174
HUAMANTANGA;-11.5503470618; -76.8438184378
SAN BUENAVENTURA;-11.4405029442; -76.6629385933
SANTA ROSA DE QUIVES;-11.6710382041; -76.8431480943
PARCOY;-7.99323972716; -77.5098471601
PIAS;-7.8936784684; -77.4874498136
SANTIAGO DE CHALLAS;-8.42706602853; -77.371474161
TAURIJA;-8.2794410507; -77.4331606857
YAMBRASBAMBA;-5.52432929313; -77.8605490277
YAMON;-6.01199768484; -78.523367636
ANDAGUA;-15.4850465709; -72.3768176137
CHOCO;-15.4141378291; -72.0687548294
SANTA MARIA DE HUACHIPA /1;-12.010572951; -76.9355515652
GUZMANGO;-7.36430408343; -78.9176893007
SAN LUIS;-7.15904792997; -78.873085214
LAGUNAS;-7.01442466301; -79.6713009573
MONSEFU;-6.86573035676; -79.8574845687
CAYALTI;-6.8887009402; -79.5066821013
BARRANCA;-10.714926002; -77.6826923059
HUAURA;-11.0035904276; -77.4452240991
COCHAMARCA;-10.8835561728; -77.1279202264
LLAMELLIN;-9.0818305656; -77.0073445799
PAMPAROMAS;-9.14324185258; -77.9570270578
CAJACAY;-10.1904460315; -77.3424818316
CANIS;-10.3344551606; -77.1909793789
TICLLOS;-10.2324768894; -77.2080341693
NUEVO CHIMBOTE;-9.10010562776; -78.43615622
YANAQUIHUA;-15.701962903; -73.0291096848
MACHAGUAY;-15.6011306598; -72.4717592378
ORCOPAMPA;-15.1160984551; -72.248495822
PAMPACOLCA;-15.6707755111; -72.6190589785
URACA;-16.261591273; -72.5255726457
LLUTA;-15.9676228603; -72.0184453813
MACA;-15.7313112059; -71.7972744667
MADRIGAL;-15.5413400202; -71.8574427537
PUNTA DE BOMBON;-17.1600366598; -71.5507232188
QUECHUALLA;-15.2898097695; -73.0704265629
TORO;-15.4047623396; -73.0161232476
VITOR;-16.489312119; -71.9878011172
CAMANA;-16.6309140479; -72.712879592
NICOLAS DE PIEROLA;-16.4794005426; -72.6340938124
CAYMA;-16.2526821559; -71.4569476457
POCSI;-16.4988870871; -71.3321758579
BELLA UNION;-15.3754193589; -74.761575882
AREQUIPA;-16.4066583008; -71.5384599628
JOSE LUIS BUSTAMANTE Y RIVERO;-16.4314916205; -71.5234728719
MIRAFLORES;-16.3564682595; -71.4712785484
SACHACA;-16.4211688162; -71.5762454264
MARIANO MELGAR;-16.3753846595; -71.4628775811
ANCHIHUAY;-12.9564943085; -73.7127241806
PUCACOLPA;-12.3394762243; -74.3830529603
ANDAYMARCA;-12.2985421141; -74.632737396
CURAHUASI;-13.6388531112; -72.618119497
OCOBAMBA;-13.5061170441; -73.519602034
PACOBAMBA;-13.5360409241; -73.1296954785
CHALACO;-5.06634599831; -79.7928096834
COLAN;-4.93063187194; -81.070948164
TAMARINDO;-4.83748470194; -80.9626269064
PAIMAS;-4.63696247634; -80.0053225078
MONTERO;-4.63834892157; -79.8466698559
LA BREA;-4.70385183458; -81.1081841876
LANCONES;-4.41997300876; -80.5027420299
LOS ORGANOS;-4.19472499401; -81.0642458366
BELLAVISTA;-4.88971907622; -80.6742778523
LA YARADA LOS PALOS;-18.200022024; -70.439070857
EL PORVENIR;-13.3977055072; -73.5550431331
ROCCHACC;-13.4555818751; -73.6173530838
SAN PABLO DE PILLAO;-9.70773582739; -75.9384503146
SANTA ROSA DE ALTO YANAJANCA;-8.78967676119; -76.5085787007
LA RAMADA;-6.23089865274; -78.5697005396
IÑ‘APARI;-10.9651985476; -70.6499133676
LOS CHANKAS;-13.390153205; -73.7913938414
SAN MIGUEL;-15.4062287245; -70.126418743
MOLLENDO;-16.8574696329; -71.8789015674
COCACHACRA;-16.9288442787; -71.5994381456
CHARACATO;-16.4577417634; -71.3828596752
SANTA ROSA;-16.8357920768; -69.8551974581
HUACULLANI;-16.6041509892; -69.3988758198
CONDURIRI;-16.5526539674; -69.6334709914
ZEPITA;-16.4945984479; -69.1779468898
CHUCUITO;-15.8909246186; -69.8785815126
CALAPUJA;-15.3110583268; -70.2364695987
ACHAYA;-15.2406972187; -70.177700049
CAMINACA;-15.3028251054; -70.0943279157
SANTA ROSA;-14.5743396861; -70.812019055
MAÑAZO;-15.8807948715; -70.4086170309
SANTA LUCIA;-15.6014592828; -70.7845536722
HUATA;-15.6216182916; -69.9977989401
PARATIA;-15.4675470466; -70.704755779
PUSI;-15.4409193841; -69.9896661145
VILQUE CHICO;-15.1380059271; -69.6095026766
CHUPA;-15.1062775949; -69.9519675384
SANTIAGO DE PUPUJA;-15.0834053039; -70.2503520108
PUCARA;-15.0794683273; -70.4505278241
SAN JUAN DE SALINAS;-15.0007969979; -70.1261890851
UMACHIRI;-14.8785770145; -70.7489853412
CUPI;-14.8900964628; -70.894259258
POTONI;-14.4164363286; -70.0921890471
ANTAUTA;-14.3546463527; -70.3841406313
CRUCERO;-14.3363833156; -69.9289143537
USICAYOS;-14.1407754622; -69.9383078577
TAPAY;-15.4268291382; -71.9360122562
PALLASCA;-8.26344854159; -78.0048510025
TAUCA;-8.44606921561; -78.0555682742
POMABAMBA;-8.79036938394; -77.506526265
JIRCAN;-9.21658783702; -76.6443863877
HUACRACHUCO;-8.60481772776; -77.1730563708
SAN BUENAVENTURA;-8.76878638235; -77.1480333293
HUASAHUASI;-11.1276234934; -75.625730678
CHANCHAMAYO;-11.0327769775; -75.3564454947
SAN JUAN DE RONTOY;-9.21843039554; -77.0417404197
CHACAS;-9.20558144115; -77.3975983531
ACOCHACA;-9.0972086181; -77.4057477414
SAN LUIS;-9.09716346082; -77.2909615375
SANTIAGO DE CHILCAS;-10.4401570339; -77.3586725964
LLACLLIN;-10.1080370429; -77.5874870379
PAMPAS CHICO;-10.0940830462; -77.3732343815
MATACOTO;-9.17748905047; -77.7589653745
QUILLO;-9.31686585435; -77.9490314419
RANRAHIRCA;-9.16010158857; -77.696672033
SHUPLUY;-9.34444504167; -77.7894985426
HUALLANCA;-8.78792491524; -77.917483655
HUATA;-9.03006908047; -77.8765824905
MATO;-8.95802825536; -77.8909653575
YAUYA;-9.00766532178; -77.2564353652
SANTA CRUZ;-8.90867113616; -77.7225718533
SANTO TORIBIO;-8.84639792088; -77.9524953582
ELEAZAR GUZMAN BARRON;-8.88606625771; -77.2203437719
LLUMPA;-8.96748087862; -77.4563733684
LUCMA;-8.9251518982; -77.4451790178
SAN MIGUEL DE ACO;-9.34392930975; -77.4330014266
SHILLA;-9.15442304448; -77.5647185946
TINCO;-9.25893942466; -77.6617969165
YUNGAR;-9.40408339387; -77.6309279603
ANRA;-9.2525110462; -76.9046714136
OCROS;-10.3806157817; -77.3644246601
ACAS;-10.5183039104; -77.3394575181
CONCHUCOS;-8.25811106235; -77.730644417
HUANDOVAL;-8.33456846525; -77.9455976995
LLAPO;-8.51561783077; -78.0302880083
SANTA;-8.99221168172; -78.6092543544
ACOBAMBA;-8.30020855434; -77.5607496401
HUAYLLABAMBA;-8.51213439454; -77.5300543845
RAGASH;-8.4547968178; -77.6960311883
SAN JUAN;-8.67163720616; -77.6204767713
SICSIBAMBA;-8.63053217839; -77.5292840102
AMBAR;-10.7823114482; -77.2677578441
GORGOR;-10.6216407015; -76.9919108709
ETEN PUERTO;-6.95042145952; -79.8469587491
SANTO TOMAS;-6.11808214887; -78.677110912
CHUMUCH;-6.57058099467; -78.1870583055
ANGUIA;-6.3379655014; -78.5758046282
COCHABAMBA;-6.48302789809; -78.852258717
CATILLUC;-6.80427802477; -78.7338456811
ANDABAMBA;-6.66400913929; -78.8097223663
HUARANGO;-5.09655267717; -78.7152958853
SAN JOSE DE LOURDES;-4.9160655277; -78.8318716783
SALLIQUE;-5.62569047241; -79.3124293881
POMAHUACA;-5.87540999205; -79.1950256453
COLASAY;-5.90106080464; -78.9794548085
CHOROS;-5.92462140992; -78.7734447675
LA CRUZ;-3.67174512185; -80.566401069
PAMPAS DE HOSPITAL;-3.85174908373; -80.3563580213
SAN JUAN DE LA VIRGEN;-3.65859091179; -80.3629188787
CASITAS;-4.03383469299; -80.6592750152
MATAPALO;-3.76762693916; -80.2285396051
SANTA CRUZ;-6.10633982742; -78.8414459472
CHOROPAMPA;-6.37006436027; -78.369042241
LLAMA;-6.53901769924; -79.1729058718
MIRACOSTA;-6.35782734707; -79.302636843
PACCHA;-6.53392707869; -78.3980786556
QUEROCOTO;-6.35221588311; -79.0929447328
SAN JUAN DE LICUPIS;-6.48436432649; -79.2455186799
LA ESPERANZA;-6.62091657124; -78.8593791755
LIMA;-12.0510554271; -77.0490377322
MIRAFLORES;-12.1207933935; -77.029088411
MAGDALENA DEL MAR;-12.094578172; -77.0670147948
SAN LUIS;-12.0741048546; -76.9972984501
SANTA ANITA;-12.0432355795; -76.9632530075
SURQUILLO;-12.113401365; -77.0129895952
BREÑA;-12.0591441086; -77.0506366491
SANTA ROSA;-11.8048866225; -77.1633216574
AMARILIS;-9.95024018022; -76.1882250577
YARUMAYO;-9.95581951073; -76.4401437409
QUISQUI (KICHKI);-9.86924038882; -76.4208060586
PACHAS;-9.69197519133; -76.8307409015
SAN MIGUEL DE CAURI;-10.2989322934; -76.6375886988
YANAS;-9.7146604233; -76.7315347228
MARGOS;-10.0632365433; -76.533190075
CONCHAMARCA;-10.0486841217; -76.2095943187
SAN FRANCISCO;-10.3323901146; -76.2873313638
TOMAY KICHWA;-10.0648743569; -76.179146461
LA UNION;-9.90789170784; -76.794695203
MOLINO;-9.99639121016; -76.0580774597
CHAVINILLO;-9.80806957777; -76.551288
MIRAFLORES;-9.44963078606; -76.8710373798
CODO DEL POZUZO;-9.63436383712; -75.466538627
CANCHABAMBA;-8.8474179221; -77.1077572219
COCHABAMBA;-9.09757428466; -76.6263911934
CHOLON;-8.65813363523; -76.7410476515
INAHUAYA;-7.04088986964; -75.2998309838
PACUCHA;-13.5981914718; -73.3092908354
COLQUEMARCA;-14.2377216725; -72.0146323972
LLUSCO;-14.4623482549; -72.2364913159
QUIÑOTA;-14.377230649; -72.20523904
KUNTURKANKI;-14.5523439571; -71.2911718037
LANGUI;-14.3853401139; -71.297401955
TUPAC AMARU;-14.1510113576; -71.5270523507
ACOPIA;-14.0470703961; -71.5064659199
MOSOC LLACTA;-14.1006161453; -71.4789411182
SANTO TOMAS;-14.6507969563; -72.2087068926
SARA SARA;-15.2600285673; -73.4594917988
SAN JOSE DE USHUA;-15.2235445028; -73.1961324499
PARARCA;-15.2057222973; -73.4523132494
SAN JAVIER DE ALPABAMBA;-15.0482095663; -73.294388259
MARCABAMBA;-15.0917259549; -73.3791588848
SAN SALVADOR DE QUIJE;-13.983270638; -73.7177638451
LAMPIAN;-11.2473324616; -76.8638324598
SAN MIGUEL DE ACOS;-11.2929704853; -76.7675034402
SANTA CRUZ DE ANDAMARCA;-11.1470187688; -76.565521864
AZANGARO;-13.0090798952; -75.8255631793
CARANIA;-12.3558660955; -75.8816401211
HUAMPARA;-12.3542954885; -76.1905988691
HUANCAYA;-12.0903650262; -75.8348001802
HUANTAN;-12.5130680574; -75.7040784211
LARAOS;-12.3844900747; -75.6761913065
MIRAFLORES;-12.2346418584; -75.8892158711
OMAS;-12.4763030587; -76.2507971969
QUINOCAY;-12.350638163; -76.2843173931
SAN PEDRO DE PILAS;-12.4929832418; -76.1860933548
VITIS;-12.1695386885; -75.8574205408
VENTANILLA;-11.8791549153; -77.1308743343
SAN SEBASTIAN;-13.5332168199; -71.9257622562
CARMEN DE LA LEGUA REYNOSO;-12.0428211724; -77.0904943627
CALLAO;-12.0165350529; -77.1216292343
BELLAVISTA;-12.0599997107; -77.1099461813
SUNAMPE;-13.4268898548; -76.1628427518
PUEBLO NUEVO;-13.2584552805; -76.0888847039
SAN JUAN DE MIRAFLORES;-12.1578203594; -76.9665238387
SANTIAGO DE SURCO;-12.1272261836; -76.9845188056
VILLA EL SALVADOR;-12.2191748891; -76.9454413141
EL AGUSTINO;-12.0401247629; -76.9875419285
LOS OLIVOS;-11.9725186497; -77.0743776898
BAMBAS;-8.60481091012; -78.0468558962
CUSCA;-8.52329393141; -77.788932889
LA PAMPA;-8.67811811655; -77.8929930522
YANAC;-8.62509127261; -77.8471517063
CHETILLA;-7.14250504659; -78.6540285153
COSPAN;-7.45302907943; -78.5168652403
HUANTAR;-9.46782596002; -77.236165398
MASIN;-9.33162017893; -77.0925373699
RAHUAPAMPA;-9.35563066576; -77.0627108313
SAN MARCOS;-9.62815176877; -77.0918966411
COCHAPETI;-9.98584840704; -77.6922724761
PUEBLO LIBRE;-9.14870738569; -77.8187221299
CHINGAS;-9.13932843531; -77.0074396115
AQUIA;-9.96578785047; -77.1309659823
HUALLANCA;-9.9171830208; -76.9438141392
ACOPAMPA;-9.29003360601; -77.6100098164
LA LIBERTAD;-9.6367724866; -77.7178843311
CORIS;-9.80759299596; -77.7961470719
HUACLLAN;-9.78608420493; -77.6787442097
CHUPACA;-12.0709235313; -75.2860683614
HUACHAC;-12.0355891727; -75.3426526418
QUICHUAY;-11.8456037368; -75.2486676757
PARCO;-11.8206164063; -75.5406016524
CANCHAYLLO;-11.9149666048; -75.8000061399
JANJAILLO;-11.7656306034; -75.6187190606
MASMA CHICCHE;-11.7749638823; -75.3646619659
CURICACA;-11.7684415021; -75.6691602404
CHACAPALPA;-11.7246231849; -75.8212406971
YAULI;-11.7096217454; -76.0981386542
SANTA ROSA DE SACCO;-11.5576036474; -75.9864540803
TARMA;-11.4555534773; -75.758776679
PACCHA;-11.4401201002; -75.9922732878
LA UNION;-11.3609886074; -75.8226319944
ACOBAMBA;-11.3491345086; -75.6568310225
PALCA;-11.3171399905; -75.5051625897
SATIPO;-11.1795996637; -74.611853339
RIO NEGRO;-11.1031720179; -74.6909678113
VITOC;-11.2650184159; -75.2366029511
SAN RAMON;-11.1568008228; -75.4050893627
ONDORES;-11.0914165725; -76.1819948036
QUILMANA;-12.8695687545; -76.3452769096
HUARAL;-11.3870831352; -77.1711049835
CHANCAY;-11.501130715; -77.2918328739
SUMBILCA;-11.3943983984; -76.8554252626
ANTIOQUIA;-12.0615574025; -76.589121791
CALLAHUANCA;-11.8137060577; -76.5753035274
HUAROCHIRI;-12.0694576324; -76.2725738345
CARABAYLLO;-11.8074226462; -76.9729546072
PUCUSANA;-12.4662357218; -76.7759877776
PUNTA NEGRA;-12.3036242455; -76.7094313776
CANARIA;-13.9615496205; -73.9945561312
PACAPAUSA;-14.9519808848; -73.3630283386
SAISA;-14.9558839082; -74.3744848785
SAN CRISTOBAL;-14.7917832364; -74.254357644
SAN JUAN;-14.6539917726; -74.1864031541
OTOCA;-14.4921394958; -74.6602107444
LLAUTA;-14.2497892187; -74.9405470271
SAN PEDRO DE LARCAY;-14.2835028608; -73.5895828157
HUACAÑ‘A;-14.2141283396; -73.8646680262
MORCOLLA;-14.1547591268; -73.8344594533
QUEROBAMBA;-13.9948166143; -73.804827865
PAICO;-14.0125910434; -73.6665905779
CHILCAYOC;-13.8912379676; -73.7217603566
INDEPENDENCIA;-13.8756565848; -73.8584707804
CAYARA;-13.7928460499; -73.9886787459
SARHUA;-13.6902848666; -74.4098400632
PILLPINTO;-13.9748258577; -71.7691440842
YAURISQUE;-13.6509176458; -71.9125903925
ACCHA;-13.9884937172; -71.8626466711
YANAOCA;-14.2737793738; -71.4420438333
CUSIPATA;-13.8859747611; -71.4379171502
SAN PABLO;-14.1517620704; -71.087604398
TINTA;-14.1587409775; -71.3922980184
OCORURO;-15.0878973485; -71.1389930982
SAN ISIDRO;-13.9735591222; -75.2344348193
OCOYO;-14.0232933757; -75.0348077061
QUERCO;-13.882865539; -74.8827239923
AYAVI;-13.7145860636; -75.3682604817
RIO GRANDE;-14.3457037371; -75.1475705597
PISCO;-13.7018097277; -76.1917790605
SANTA CRUZ;-14.4711962407; -75.2576989782
PACHACUTEC;-14.1604108084; -75.6516622533
ACOCRO;-13.3042985317; -74.0209562776
TAMBILLO;-13.1902248005; -74.142170345
SANTIAGO DE PISCHA;-13.0747163693; -74.364178507
HUAROCONDO;-13.3696552996; -72.2767056791
ANTA;-13.4879086703; -72.1599767397
LAMAY;-13.3220609245; -71.8810882399
MARAS;-13.3370025499; -72.1621854947
SAN JERONIMO;-13.5573960092; -71.8674559007
CHALLABAMBA;-13.1392818148; -71.7693107288
PICHARI;-12.3681386005; -73.8103484583
SANTA ANA;-12.8768105494; -72.7433729532
MEGANTONI;-11.7511334034; -72.858915351
HUAYOPATA;-13.0509532201; -72.4732855991
OCOBAMBA;-12.916321271; -72.362044284
VILCABAMBA;-13.0535423557; -73.0511947147
MACHUPICCHU;-13.2014713868; -72.5001589221
KOSÑIPATA;-13.0450546371; -71.4635166227
URUBAMBA;-13.2449435867; -72.1312676042
ANCAHUASI;-13.4616253687; -72.3222296759
CACHIMAYO;-13.4635010934; -72.0553873294
VINCHOS;-13.3062983049; -74.4564372217
ORONCCOY;-13.3463272252; -73.3926094654
CHILCAS;-13.1686100137; -73.8660393351
AYACUCHO;-13.134562378; -74.2520881574
JESUS NAZARENO;-13.1218897938; -74.2085638793
SAN JOSE DE TICLLAS;-13.1251121764; -74.3264205788
ANCO;-13.0647122283; -73.6433485363
HUAMANGUILLA;-12.9926547187; -74.1589467033
IGUAIN;-12.983082879; -74.2182349367
COLQUEPATA;-13.4030346434; -71.654226929
SAN SALVADOR;-13.4882146459; -71.7742028753
OCONGATE;-13.6876748514; -71.2689613221
OROPESA;-13.5740903513; -71.7886511967
TICRAPO;-13.4180643638; -75.409743609
MOLLEPAMPA;-13.291887538; -75.4319934317
ARMA;-13.1104847726; -75.511148576
TANTARA;-13.1265594929; -75.6213614214
AURAHUA;-12.9566718213; -75.4427953379
SANTA ANA;-13.0881631737; -75.1311804883
LIRCAY;-13.1037323336; -74.7375465522
CCOCHACCASA;-12.935057365; -74.8051840049
ANCHONGA;-12.8873240277; -74.7060385923
CAJA;-12.8728792329; -74.4734204925
HUANCA-HUANCA;-12.9647997631; -74.6264649322
CHINCHO;-12.9847678686; -74.3431904481
ANTA;-12.8172812598; -74.6638479232
ÑAHUIMPUQUIO;-12.3291868348; -75.0911053715
QUISHUAR;-12.2497805205; -74.7672026348
SALCABAMBA;-12.1949066312; -74.7832200387
SALCAHUASI;-12.1065071564; -74.7514406559
CHURCAMPA;-12.7104979424; -74.3848767648
QUICHUAS;-12.4678263166; -74.7273932827
ANCO;-12.6435331618; -74.5630534706
HUANCANO;-13.5551913516; -75.6159107063
HUANCAN;-12.1105172146; -75.204098057
HUANCAYO;-11.9933232138; -75.0712799669
CONCEPCION;-11.91246164; -75.3135151628
INGENIO;-11.8537364374; -75.2229562717
NUEVE DE JULIO;-11.8898986971; -75.3146271739
SICAYA;-12.019057661; -75.2875089972
HUALHUAS;-11.9679755353; -75.2441203769
ACO;-11.9553365487; -75.397079679
HUASICANCHA;-12.3712238114; -75.2860890211
CHONGOS ALTO;-12.4856577947; -75.4372524394
CULLHUAS;-12.2517931022; -75.1547028589
HUACRAPUQUIO;-12.1866998598; -75.2093509224
CHUPURO;-12.2098289461; -75.2411322773
COISHCO;-9.02758249842; -78.6184519092
CUMBA;-5.91672489962; -78.6077074477
NIEVA;-4.84542432042; -77.9303731793
BALSAS;-6.80772633582; -77.9491658524
LEIMEBAMBA;-6.80889724453; -77.7987070278
MARISCAL CASTILLA;-6.57890315088; -77.7700023078
MONTEVIDEO;-6.62810622185; -77.7183779094
LIMABAMBA;-6.55307936263; -77.5760311618
HUAMBO;-6.43557136262; -77.5305643458
MAGDALENA;-6.42056600716; -77.8238173597
LONGUITA;-6.40730433007; -78.0048091035
SAN NICOLAS;-6.37280613919; -77.4389577729
TOTORA;-6.49135071133; -77.4671568143
COLCAMAR;-6.31003152114; -78.0106389441
PROVIDENCIA;-6.30757148488; -78.2918478772
SOLOCO;-6.30911425136; -77.746353803
CHETO;-6.29796969244; -77.6771663575
SONCHE;-6.17597398124; -77.7964045295
HUANCAS;-6.15614501127; -77.8749791774
CONILA;-6.12653479808; -78.1911941394
QUINJALCA;-6.10816094252; -77.6854906461
VALERA;-6.08063389808; -77.869171342
CHAUPIMARCA;-10.7011694919; -76.2465887272
SAN FRANCISCO DE ASIS DE YARUSYACAN;-10.5527119905; -76.2283152144
CHACAYAN;-10.4795738934; -76.3925463813
PAUCAR;-10.3408711164; -76.4172799738
UCHIZA;-8.35837550385; -76.3977378217
TOCACHE;-8.27741636246; -76.5462363132
CAMPANILLA;-7.65207120999; -76.80913945
HUALLAGA;-7.29432859863; -76.5686720517
TINGO DE SAPOSOA;-7.06444665135; -76.6565084575
SAN RAFAEL;-7.02649385047; -76.4956693111
EL ESLABON;-6.99155537959; -76.7058137942
SAN CRISTOBAL;-6.97850920087; -76.4288522797
JOSE SABOGAL;-7.22679216013; -77.9681835688
JESUS;-7.2983095532; -78.3666469179
HUAYANA;-13.9895901153; -73.5509681907
CARAYBAMBA;-14.419368169; -73.0945034802
SABAINO;-14.3229723228; -72.9801581216
VIRUNDO;-14.2910555229; -72.6773356408
CHALHUANCA;-14.2942553193; -73.2292836062
YANACA;-14.2313252575; -73.1598036025
SAN ANTONIO;-14.1756497892; -72.6062424649
PATAYPAMPA;-14.2260594684; -72.7577387514
SAÑ‘AYCA;-14.3325663438; -73.3582653313
SANTA ROSA;-14.1259572465; -72.6604436773
PAMPACHIRI;-14.2960428416; -73.4785255169
CHUQUIBAMBILLA;-14.1173718409; -72.7746262911
VILCABAMBA;-14.0786462597; -72.6362339363
MICAELA BASTIDAS;-14.139931374; -72.5746997389
POMACOCHA;-14.0962804988; -73.4920982347
HUAYLLO;-14.0979375293; -73.2440329586
CHACOCHE;-13.9974263879; -72.9912887467
PICHIRHUA;-13.7847877077; -73.0317318137
JORGE CHAVEZ;-6.93951615063; -78.0694932067
CHILETE;-7.2563429841; -78.821664375
SANTA CRUZ DE TOLED;-7.32766242051; -78.863398427
TANTARICA;-7.27531159475; -78.949852016
BOLIVAR;-6.9759116547; -79.1624872618
LLAPA;-6.89137200603; -78.7487037679
NANCHOC;-7.00851773358; -79.2477747919
SAN PABLO;-7.08601213214; -78.7857843502
TUMBADEN;-6.98753855794; -78.6762048112
TRUJILLO;-8.11258569079; -79.0238590889
HUANCHACO;-8.00104630326; -79.0585452981
SALAVERRY;-8.25359293406; -78.8994037776
SIMBAL;-7.9183695748; -78.8270851334
ASCOPE;-7.66089880461; -79.0820681884
CHICAMA;-7.80497700664; -79.0082235365
PAIJAN;-7.72873706327; -79.3021664675
OTUZCO;-7.84872760724; -78.582110437
HUARANCHAL;-7.69045452769; -78.4517382508
VIRU;-8.35330369503; -78.7352552612
MOLLEBAMBA;-8.12796551154; -77.9808114883
SANTA CATALINA;-6.05696468023; -78.0935157786
VISTA ALEGRE;-6.20719940523; -77.3342252094
SAN JERONIMO;-6.00459367434; -78.0458068791
SAN CARLOS;-5.99638868782; -77.8790594036
ASUNCION;-5.99613253802; -77.7432040507
SHIPASBAMBA;-5.88374674985; -78.052089155
FLORIDA;-5.82360433687; -77.9592017998
COROSHA;-5.81751877399; -77.8107241958
EL MILAGRO;-5.71731096228; -78.6112459364
EL PARCO;-5.62263826358; -78.4739696775
ARAMANGO;-5.38043114766; -78.4483373822
MAQUIA;-6.38533315492; -74.7295113102
SOPLIN;-6.32702643751; -73.7507104043
IQUITOS;-3.78227309811; -73.4326314367
FERNANDO LORES;-4.27912451494; -73.1148146434
URARINAS;-4.27492211676; -75.4846662463
RAMON CASTILLA;-3.6774966753; -70.8361347615
PEBAS;-3.4327117783; -71.9646746097
YAVARI;-4.47746309401; -72.0331143036
YAQUERANA;-5.75171282541; -73.344436466
VARGAS GUERRA;-6.93193005102; -75.0943127098
MANSERICHE;-4.7275964226; -77.5185118696
HUICUNGO;-7.25928174968; -77.3215754538
PACHIZA;-6.96930293716; -77.0432954389
SAPOSOA;-6.88883849625; -76.8737539605
HABANA;-6.08890186407; -77.1000937024
PILLUANA;-6.78342256111; -76.2689700507
TRES UNIDOS;-6.81743258632; -76.1286175266
SAN JOSE DE SISA;-6.61165135243; -76.7202348532
JUAN GUERRA;-6.62125836355; -76.3506792743
LA BANDA DE SHILCAYO;-6.47725901212; -76.2722677194
MORALES;-6.50804787426; -76.4169957393
LAMAS;-6.39906025283; -76.5260419804
SHANAO;-6.40813284213; -76.5778508165
TABALOSOS;-6.38865034392; -76.6552378213
ALONSO DE ALVARADO;-6.31131377602; -76.7729484432
SORITOR;-6.27274273165; -77.0541424984
PINTO RECODO;-6.15775119087; -76.712942475
SAN ROQUE DE CUMBAZA;-6.20374626467; -76.538562369
MOYOBAMBA;-5.76832541083; -77.1699048002
PARDO MIGUEL;-5.74870712093; -77.6341466575
CALLAYUC;-6.12741096746; -78.9309468464
MARIATANA;-12.2616369343; -76.3653202996
SAN BARTOLOME;-11.9140806003; -76.5014098037
SAN JUAN DE IRIS;-11.718968603; -76.4690906614
SAN MATEO;-11.8197846868; -76.2189828479
SAN PEDRO DE HUANCAYRE;-12.0867091501; -76.1966380546
SANTIAGO DE TUNA;-11.9780616838; -76.5284597245
HONGOS;-12.7664935936; -75.6728381105
TUPE;-12.6902905293; -75.7360981401
VIÑAC;-12.8875592348; -75.7704274289
ATAVILLOS BAJO;-11.3464536297; -76.7610537145
SEXI;-6.58558501491; -79.0363568143
