Distritos;X;Y
SAYAN;-11.1458636307; -77.2338038419
VEGUETA;-10.9501922865; -77.6041162885
OYON;-10.66939884; -76.7577218794
PACHANGARA;-10.837864359; -76.7975538678
PATIVILCA;-10.6233603003; -77.6859584962
CAJAMARCA;-7.07747708863; -78.5611041364
SAN ANDRES DE CUTERVO;-6.224066509; -78.7422814594
SANTO DOMINGO DE LA CAPILLA;-6.25794975766; -78.8427228612
CORTEGANA;-6.4876969851; -78.2855215194
CHIGUIRIP;-6.4250805525; -78.7080371165
TOCMOCHE;-6.45683607426; -79.3759848363
CHIRINOS;-5.30755234438; -78.8824544595
LA COIPA;-5.38963562124; -78.9734843094
NAMBALLE;-5.10728307114; -79.180983437
BELLAVISTA;-5.5646739795; -78.7426261245
JAEN;-5.77018429266; -78.852553109
HUABAL;-5.60492696904; -78.9058564487
TORIBIO CASANOVA;-5.98798890737; -78.692424665
TUMBES;-3.55366064722; -80.4161727295
SAN JACINTO;-3.90593811565; -80.5109128934
ZORRITOS;-3.81638439307; -80.7043190415
AGUAS VERDES;-3.49151620454; -80.2424451452
PAPAYAL;-3.57206508895; -80.2887578092
HUASMIN;-6.82830310912; -78.3256281293
HUALGAYOC;-6.75273467315; -78.6002541397
MIGUEL IGLESIAS;-6.65103216318; -78.2653359849
LA LIBERTAD DE PALLAN;-6.70880308546; -78.2860853237
HUAMBOS;-6.44369579651; -78.9704036419
TACABAMBA;-6.39835087767; -78.5557095355
CHALAMARCA;-6.51761020088; -78.4952396402
TONGOD;-6.78816631091; -78.8335499813
CATACHE;-6.74935948216; -79.0769035273
CHANCAYBAÑOS;-6.55596131696; -78.8779382644
PULAN;-6.74656574241; -78.9211597453
SAUCEPAMPA;-6.68286029989; -78.9084687402
JESUS MARIA;-12.0780894556; -77.0482420569
LINCE;-12.0857698775; -77.0356913423
PUEBLO LIBRE;-12.0750804611; -77.0657891347
SAN JUAN DE LURIGANCHO;-11.9459474278; -76.9714642367
LA VICTORIA;-12.0723184628; -77.0173714881
MI PERU;-11.8543385226; -77.1205559213
CHUQUIBAMBA;-6.93489422614; -77.8950705087
PILLCO MARCA;-10.0403840107; -76.2812483543
RIPAN;-9.81053307867; -76.8436912232
SHUNQUI;-9.75051594502; -76.8097734319
CAHUAC;-9.86463188694; -76.6493218971
APARICIO POMARES;-9.71624268525; -76.5768698941
JACAS CHICO;-9.87516885426; -76.5090843395
CHORAS;-9.9118168783; -76.571825398
CHINCHAO;-9.61537286082; -76.1107589102
QUIVILLA;-9.57602463962; -76.6872730205
COLPAS;-10.2443982998; -76.4643578149
HUACAR;-10.1953034764; -76.2696043374
OBAS;-9.8269289773; -76.6813197556
JESUS;-10.218531594; -76.7555787765
JIVIA;-10.0354743777; -76.6563208997
PUERTO INCA;-9.28893344327; -74.9668405448
MARIANO DAMASO BERAUN;-9.39440038201; -76.0310356204
PINRA;-8.9144071483; -77.0007544269
JOSE CRESPO Y CASTILLO;-8.93244828065; -76.1778384641
PAMPA HERMOSA;-7.30260249309; -75.7697097135
ALTO BIAVO;-7.82211056329; -76.2741226192
COCHARCAS;-13.6115546129; -73.7478503052
ABANCAY;-13.6358417479; -72.8716118414
CCAPI;-13.8606811013; -72.019423991
HUANOQUITE;-13.6988093806; -72.079212895
OMACHA;-14.139709931; -71.7863405438
LIVITACA;-14.3338730467; -71.6463321565
URCOS;-13.6878742407; -71.5991388851
ANDAHUAYLILLAS;-13.6657692505; -71.700323991
ACOMAYO;-13.8931513123; -71.6724775444
RONDOCAN;-13.787630277; -71.7654018293
SANGARARA;-13.953936742; -71.5707662654
ACOS;-13.9392971423; -71.7302437007
PULLO;-15.3331747649; -73.9844927281
LAMPA;-15.1484683027; -73.4496746812
SANCOS;-15.1470872855; -74.1584136811
CORACORA;-14.8157595986; -73.6993401989
